question,answer,source
How many times does a hummingbird flap its wings in a day?, 10^6, https://www.allaboutbirds.org/guide/Ruby-throated_Hummingbird/lifehistory
How many people ride the New York Subway on a typical weekday?, 10^6, http://web.mta.info/nyct/facts/ridership/
How many atoms are there in a grain of salt?, 10^18, https://education.jlab.org/qa/matter_04.html
How many neurons are in the human brain?, 10^11, https://www.brainfacts.org/brain-anatomy-and-function/anatomy/2012/the-neuron
How many times does an average clock's hands overlap in a day?, 10^1, https://www.quora.com/How-many-times-do-the-hour-and-minute-hands-of-a-clock-overlap-in-a-day
How many bacteria live in the human mouth?, 10^10, https://www.colgateprofessional.com/education/patient-education/topics/systemic/why-a-healthy-mouth-is-good-for-your-body
How many songs does the average person listen to in a year?, 10^4, https://www.statista.com/statistics/1104720/music-consumption-usa-genre/
How many raindrops fall in a 1 square meter area during a typical rainfall?, 10^6, https://www.usgs.gov/special-topic/water-science-school/science/rain-and-precipitation
How many liters of oxygen does a person breathe in a day?, 10^3, https://www.vitalograph.com/resources/faqs
How many words are in the English language?, 10^6, https://www.dictionary.com/e/how-many-words-are-in-the-english-language/
How many miles does an average commercial airplane fly in its lifetime?, 10^7, https://www.airspacemag.com/need-to-know/what-determines-an-airplanes-lifespan-29533465/
How many individual pieces are in a standard set of Lego?, 10^3, https://www.lego.com/en-us/categories
How many times does an average person blink in a day?, 10^4, https://www.aoa.org/healthy-eyes/eye-and-vision-conditions/blink
How many cells are in the human body?, 10^13, https://www.ncbi.nlm.nih.gov/books/NBK2691/